               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059163,            0.030627,            0.044137,             0.88959,             0.68429,             0.73318,             0.43856,            0.045009,             0.02433,            0.024062,              0.0892,              0.0012,              0.0012
                   1,            0.039329,            0.026588,             0.02817,             0.92562,             0.78052,               0.904,             0.52513,            0.035775,            0.018826,            0.016244,            0.077451,           0.0024505,           0.0024505
                   2,            0.033312,            0.022563,            0.021983,             0.91291,             0.78313,             0.87692,              0.5495,             0.03311,            0.017387,            0.020617,             0.06565,           0.0036495,           0.0036495
                   3,            0.033881,            0.017551,            0.024935,             0.91097,             0.76592,             0.89595,             0.52307,            0.033754,            0.015903,            0.020236,            0.053797,           0.0047971,           0.0047971
                   4,            0.031112,            0.018544,            0.017832,             0.90111,              0.8083,             0.91401,             0.53102,            0.033124,            0.015617,            0.015735,            0.041893,           0.0058931,           0.0058931
                   5,            0.030923,            0.017791,            0.016105,             0.77476,             0.81296,             0.89644,             0.51523,            0.033499,            0.017136,            0.021557,            0.029938,           0.0069377,           0.0069377
                   6,             0.03305,             0.01774,            0.016443,             0.90214,             0.78063,             0.91267,             0.54406,            0.034499,            0.014322,            0.021468,            0.017931,           0.0079308,           0.0079308
                   7,            0.031368,            0.019488,            0.017161,             0.85863,             0.82428,             0.85972,             0.53404,            0.035446,            0.015663,            0.020392,            0.008614,            0.008614,            0.008614
                   8,            0.028803,            0.016876,            0.019403,             0.85033,             0.90866,             0.91155,              0.5569,            0.031092,             0.01297,            0.020625,            0.008614,            0.008614,            0.008614
                   9,            0.029828,            0.017975,            0.014987,             0.83798,             0.88308,              0.9225,             0.54073,            0.033688,            0.014307,            0.013836,            0.008416,            0.008416,            0.008416
                  10,            0.030453,            0.016767,            0.015616,             0.88809,             0.86074,             0.91851,             0.50715,            0.038169,            0.014103,             0.01336,            0.008218,            0.008218,            0.008218
                  11,            0.031495,            0.016798,            0.015301,             0.79808,             0.82982,             0.83491,              0.5325,            0.030548,            0.014778,            0.030399,             0.00802,             0.00802,             0.00802
                  12,             0.03129,            0.017558,            0.015172,             0.85289,             0.88241,             0.92382,             0.61787,            0.028981,            0.012117,            0.021245,            0.007822,            0.007822,            0.007822
                  13,            0.030248,            0.015994,            0.013747,             0.85716,              0.8778,             0.93405,             0.59013,            0.033353,            0.013033,            0.020283,            0.007624,            0.007624,            0.007624
                  14,            0.030532,            0.016684,            0.013499,             0.84534,             0.87085,             0.95499,             0.54287,            0.035169,            0.013142,            0.020149,            0.007426,            0.007426,            0.007426
                  15,            0.030226,            0.014828,            0.013682,             0.82395,             0.78205,             0.91036,             0.54794,            0.033641,            0.013733,            0.026849,            0.007228,            0.007228,            0.007228
                  16,              0.0279,            0.015003,            0.013515,             0.84724,             0.85473,              0.9015,             0.54936,            0.030959,             0.01429,            0.024057,             0.00703,             0.00703,             0.00703
                  17,            0.028608,            0.015592,            0.013731,             0.80204,             0.80059,             0.87184,              0.5423,            0.031851,            0.014717,            0.023977,            0.006832,            0.006832,            0.006832
                  18,            0.026103,            0.017492,            0.010621,             0.87644,             0.77478,             0.88118,             0.57139,            0.030706,            0.013058,            0.024473,            0.006634,            0.006634,            0.006634
                  19,            0.027074,            0.015595,            0.010969,             0.87478,             0.83052,             0.97114,             0.62773,            0.028287,            0.012306,            0.020402,            0.006436,            0.006436,            0.006436
